,loss,bound_loss,residual_loss,u_loss,v_loss
236,1.3003985,0.9324988,0.36789963,0.93143857,0.0010603433
237,1.2977349,0.9298771,0.36785778,0.92883044,0.0010466957
238,1.2950652,0.92727005,0.36779502,0.9262273,0.0010427906
239,1.2925664,0.92481726,0.3677492,0.92376786,0.0010493476
240,1.2901905,0.9225933,0.36759716,0.9215299,0.0010634316
241,1.2880113,0.9205538,0.3674574,0.91947174,0.0010821207
242,1.2859815,0.9186878,0.36729378,0.91758746,0.001100367
243,1.2839823,0.91671246,0.3672698,0.9156008,0.0011116543
244,1.2819402,0.9147274,0.36721286,0.9136213,0.0011060565
245,1.2796118,0.9124277,0.367184,0.91134804,0.0010796853
246,1.2771305,0.91007125,0.3670592,0.9090308,0.001040562
247,1.2745914,0.90746367,0.36712784,0.90645516,0.0010085219
248,1.2722868,0.9050118,0.36727506,0.9040185,0.0009932808
249,1.2702067,0.9027413,0.3674653,0.9017466,0.0009947869
250,1.2684025,0.90099895,0.36740357,0.8999937,0.0010053298
251,1.2666348,0.8994444,0.36719042,0.8984243,0.0010199512
252,1.2648036,0.8979519,0.3668518,0.89691716,0.0010347024
253,1.2626919,0.8961517,0.3665402,0.895102,0.0010497237
254,1.2603067,0.89409333,0.36621338,0.8930276,0.0010657264
255,1.257755,0.8919147,0.36584035,0.8908292,0.0010855469
256,1.255217,0.8897699,0.365447,0.8886571,0.0011128621
257,1.2532126,0.8879798,0.36523274,0.88682526,0.001154519
258,1.2520949,0.8864662,0.36562866,0.88526046,0.0012057004
259,1.2515842,0.88526714,0.36631706,0.88405645,0.0012106521
260,1.2498019,0.88385904,0.3659429,0.88276786,0.0010910904
261,1.2478228,0.88289034,0.36493248,0.88193625,0.0009540517
262,1.245861,0.8805682,0.36529288,0.8796546,0.00091365224
263,1.2420259,0.87591136,0.36611456,0.87498635,0.0009249527
264,1.23836,0.8722836,0.36607647,0.8713363,0.0009474271
265,1.2360007,0.8708147,0.36518592,0.8698412,0.00097341946
266,1.2331203,0.8696583,0.36346206,0.86864775,0.0010105602
267,1.2313433,0.86932117,0.36202213,0.86826694,0.001054164
268,1.2298243,0.86812496,0.3616995,0.8670012,0.0011237625
269,1.2288692,0.8665665,0.3623027,0.8653388,0.0012277208
270,1.2291071,0.86532354,0.3637835,0.8640213,0.0013022744
271,1.2280933,0.86466235,0.3634308,0.8634636,0.0011988778
272,1.2255363,0.8640028,0.36153358,0.863025,0.0009777806
273,1.2260848,0.86378545,0.36229935,0.8628634,0.0009219706
274,1.2227631,0.85901165,0.36375132,0.85807276,0.00093887065
275,1.2139367,0.8514126,0.36252418,0.85047275,0.0009398643
276,1.209532,0.84873694,0.36079508,0.84778166,0.00095525535
277,1.2073961,0.8482176,0.3591786,0.8471983,0.0010193253
278,1.205668,0.8481512,0.3575167,0.8470661,0.0010850717
279,1.205924,0.8487776,0.35714653,0.84766644,0.001111153
280,1.2036908,0.8468108,0.35687995,0.84570885,0.0011019781
281,1.1994224,0.842253,0.35716933,0.8412057,0.0010473555
282,1.1973014,0.8404708,0.3568306,0.83949196,0.0009789253
283,1.1958034,0.83971834,0.3560851,0.83876944,0.0009489702
284,1.1929891,0.8377082,0.35528088,0.8367664,0.0009417435
285,1.1906984,0.8355942,0.35510406,0.83464956,0.00094463804
286,1.1881574,0.8338149,0.3543426,0.8328673,0.00094760803
287,1.185494,0.83163863,0.35385537,0.83067876,0.000959776
288,1.1827489,0.8299087,0.3528401,0.8289477,0.00096098834
289,1.179932,0.8280759,0.35185608,0.82711506,0.00096092897
290,1.175834,0.82545125,0.35038257,0.8244972,0.0009539744
291,1.1711211,0.8218454,0.34927565,0.82088697,0.0009585023
292,1.1659963,0.8185476,0.34744877,0.8175785,0.000969038
293,1.1616454,0.8151345,0.34651083,0.8141285,0.0010060976
294,1.1624435,0.81597984,0.3464637,0.8147976,0.0011821765
295,1.1591172,0.81467503,0.34444222,0.8134926,0.0011824077
296,1.1596311,0.818528,0.34110314,0.8172535,0.0012745071
297,1.1459377,0.80794746,0.33799028,0.8068819,0.0010654555
298,1.1500145,0.81150943,0.3385051,0.8101541,0.0013554047
299,1.1423523,0.7981638,0.34418863,0.79662895,0.0015348453
300,1.1793777,0.82431567,0.35506207,0.82174194,0.002573718
301,1.1763937,0.8294522,0.34694153,0.82788074,0.0015714777
302,1.1635303,0.8407092,0.32282123,0.8394766,0.001232511
303,1.1399113,0.78565633,0.3542549,0.78369415,0.0019621465
304,1.142625,0.80755424,0.33507073,0.80568236,0.0018718243
305,1.1514591,0.8027366,0.34872255,0.80145025,0.0012863729
306,1.1203063,0.80116445,0.31914192,0.79995507,0.0012093271
307,1.1249064,0.7877141,0.3371923,0.7867528,0.00096132106
308,1.0881413,0.7575571,0.33058423,0.75652057,0.0010365242
309,1.1174076,0.781539,0.33586863,0.78057206,0.0009669297
310,1.094465,0.7806368,0.3138283,0.7797307,0.00090613245
311,1.0966302,0.7694364,0.3271938,0.7685431,0.00089331565
312,1.0659543,0.7448677,0.32108665,0.74384034,0.0010273232
