,loss,bound_loss,init_loss
238,0.015582257,0.008615378,0.0069668796
239,0.015525677,0.00860351,0.006922167
240,0.015469861,0.008591919,0.0068779425
241,0.015414831,0.008580591,0.006834239
242,0.0153606,0.0085695,0.0067911
243,0.015307191,0.0085586235,0.006748567
244,0.015254617,0.008547948,0.0067066695
245,0.015202927,0.008537489,0.006665438
246,0.015152191,0.008527276,0.0066249147
247,0.015102465,0.008517326,0.006585138
248,0.015053743,0.008507617,0.006546126
249,0.015006006,0.008498109,0.006507896
250,0.014959231,0.008488783,0.006470449
251,0.014913411,0.008479622,0.006433788
252,0.014868557,0.008470626,0.006397931
253,0.014824688,0.008461797,0.0063628913
254,0.014781785,0.008453117,0.0063286703
255,0.014739834,0.008444573,0.0062952605
256,0.014698822,0.008436156,0.006262665
257,0.014658742,0.008427864,0.0062308796
258,0.014619574,0.008419679,0.006199895
259,0.014581315,0.00841161,0.006169705
260,0.0145439515,0.008403649,0.0061403024
261,0.014507439,0.008395779,0.0061116605
262,0.014471763,0.008387997,0.0060837665
263,0.014436889,0.008380291,0.006056597
264,0.014402776,0.00837265,0.0060301274
265,0.01436941,0.008365073,0.0060043377
266,0.01433674,0.008357543,0.0059791966
267,0.014304713,0.00835004,0.005954672
268,0.014273302,0.008342564,0.005930737
269,0.014242462,0.008335099,0.005907364
270,0.01421214,0.008327627,0.0058845137
271,0.014182311,0.0083201425,0.0058621666
272,0.014152929,0.00831264,0.00584029
273,0.014123955,0.008305102,0.005818853
274,0.0140953725,0.008297532,0.00579784
275,0.014067137,0.008289918,0.005777219
276,0.014039218,0.008282254,0.0057569644
277,0.0140115945,0.0082745375,0.0057370556
278,0.013984229,0.008266763,0.005717467
279,0.013957117,0.008258929,0.005698187
280,0.013930223,0.008251035,0.005679188
281,0.013903518,0.008243071,0.0056604478
282,0.0138769895,0.00823504,0.005641949
283,0.013850614,0.008226942,0.0056236726
284,0.013824369,0.00821877,0.0056055984
285,0.013798219,0.008210518,0.0055877008
286,0.013772157,0.008202191,0.0055699646
