,loss,res_loss,bound_loss
6330,"tf.Tensor(0.0001883275, shape=(), dtype=float32)","tf.Tensor(5.5590178e-08, shape=(), dtype=float32)","tf.Tensor(4.6861305e-06, shape=(), dtype=float32)"
6331,"tf.Tensor(0.00018832949, shape=(), dtype=float32)","tf.Tensor(5.5642417e-08, shape=(), dtype=float32)","tf.Tensor(4.685568e-06, shape=(), dtype=float32)"
6332,"tf.Tensor(0.00018832709, shape=(), dtype=float32)","tf.Tensor(5.5600374e-08, shape=(), dtype=float32)","tf.Tensor(4.6852097e-06, shape=(), dtype=float32)"
6333,"tf.Tensor(0.00018832598, shape=(), dtype=float32)","tf.Tensor(5.543912e-08, shape=(), dtype=float32)","tf.Tensor(4.6865525e-06, shape=(), dtype=float32)"
6334,"tf.Tensor(0.00018832469, shape=(), dtype=float32)","tf.Tensor(5.5494525e-08, shape=(), dtype=float32)","tf.Tensor(4.683625e-06, shape=(), dtype=float32)"
6335,"tf.Tensor(0.00018832051, shape=(), dtype=float32)","tf.Tensor(5.5417793e-08, shape=(), dtype=float32)","tf.Tensor(4.6818254e-06, shape=(), dtype=float32)"
6336,"tf.Tensor(0.00018831139, shape=(), dtype=float32)","tf.Tensor(5.512287e-08, shape=(), dtype=float32)","tf.Tensor(4.6763334e-06, shape=(), dtype=float32)"
6337,"tf.Tensor(0.00018842827, shape=(), dtype=float32)","tf.Tensor(5.3976738e-08, shape=(), dtype=float32)","tf.Tensor(4.7653834e-06, shape=(), dtype=float32)"
6338,"tf.Tensor(0.00018831062, shape=(), dtype=float32)","tf.Tensor(5.5029552e-08, shape=(), dtype=float32)","tf.Tensor(4.6766586e-06, shape=(), dtype=float32)"
6339,"tf.Tensor(0.00018829988, shape=(), dtype=float32)","tf.Tensor(5.4864955e-08, shape=(), dtype=float32)","tf.Tensor(4.670743e-06, shape=(), dtype=float32)"
6340,"tf.Tensor(0.00018837559, shape=(), dtype=float32)","tf.Tensor(5.4477965e-08, shape=(), dtype=float32)","tf.Tensor(4.7172903e-06, shape=(), dtype=float32)"
6341,"tf.Tensor(0.00018829838, shape=(), dtype=float32)","tf.Tensor(5.4806637e-08, shape=(), dtype=float32)","tf.Tensor(4.6706264e-06, shape=(), dtype=float32)"
6342,"tf.Tensor(0.00018829027, shape=(), dtype=float32)","tf.Tensor(5.4734226e-08, shape=(), dtype=float32)","tf.Tensor(4.6684945e-06, shape=(), dtype=float32)"
6343,"tf.Tensor(0.00018832252, shape=(), dtype=float32)","tf.Tensor(5.4476025e-08, shape=(), dtype=float32)","tf.Tensor(4.706385e-06, shape=(), dtype=float32)"
6344,"tf.Tensor(0.00018828866, shape=(), dtype=float32)","tf.Tensor(5.467708e-08, shape=(), dtype=float32)","tf.Tensor(4.670178e-06, shape=(), dtype=float32)"
6345,"tf.Tensor(0.00018828028, shape=(), dtype=float32)","tf.Tensor(5.4569952e-08, shape=(), dtype=float32)","tf.Tensor(4.6703713e-06, shape=(), dtype=float32)"
6346,"tf.Tensor(0.00018829704, shape=(), dtype=float32)","tf.Tensor(5.4208343e-08, shape=(), dtype=float32)","tf.Tensor(4.696505e-06, shape=(), dtype=float32)"
6347,"tf.Tensor(0.00018827736, shape=(), dtype=float32)","tf.Tensor(5.4458503e-08, shape=(), dtype=float32)","tf.Tensor(4.6731134e-06, shape=(), dtype=float32)"
6348,"tf.Tensor(0.00018827268, shape=(), dtype=float32)","tf.Tensor(5.4397535e-08, shape=(), dtype=float32)","tf.Tensor(4.669975e-06, shape=(), dtype=float32)"
6349,"tf.Tensor(0.0001883479, shape=(), dtype=float32)","tf.Tensor(5.421659e-08, shape=(), dtype=float32)","tf.Tensor(4.710069e-06, shape=(), dtype=float32)"
6350,"tf.Tensor(0.00018827188, shape=(), dtype=float32)","tf.Tensor(5.4390803e-08, shape=(), dtype=float32)","tf.Tensor(4.6693076e-06, shape=(), dtype=float32)"
6351,"tf.Tensor(0.00018826804, shape=(), dtype=float32)","tf.Tensor(5.4373825e-08, shape=(), dtype=float32)","tf.Tensor(4.6698315e-06, shape=(), dtype=float32)"
6352,"tf.Tensor(0.00018826243, shape=(), dtype=float32)","tf.Tensor(5.433151e-08, shape=(), dtype=float32)","tf.Tensor(4.672735e-06, shape=(), dtype=float32)"
6353,"tf.Tensor(0.00018826267, shape=(), dtype=float32)","tf.Tensor(5.4339388e-08, shape=(), dtype=float32)","tf.Tensor(4.6704854e-06, shape=(), dtype=float32)"
6354,"tf.Tensor(0.00018825382, shape=(), dtype=float32)","tf.Tensor(5.4319877e-08, shape=(), dtype=float32)","tf.Tensor(4.6674e-06, shape=(), dtype=float32)"
6355,"tf.Tensor(0.00018828105, shape=(), dtype=float32)","tf.Tensor(5.430685e-08, shape=(), dtype=float32)","tf.Tensor(4.69429e-06, shape=(), dtype=float32)"
6356,"tf.Tensor(0.00018825383, shape=(), dtype=float32)","tf.Tensor(5.430732e-08, shape=(), dtype=float32)","tf.Tensor(4.6682353e-06, shape=(), dtype=float32)"
6357,"tf.Tensor(0.00018824471, shape=(), dtype=float32)","tf.Tensor(5.4240047e-08, shape=(), dtype=float32)","tf.Tensor(4.6663476e-06, shape=(), dtype=float32)"
6358,"tf.Tensor(0.00018825456, shape=(), dtype=float32)","tf.Tensor(5.4033713e-08, shape=(), dtype=float32)","tf.Tensor(4.686913e-06, shape=(), dtype=float32)"
6359,"tf.Tensor(0.00018823998, shape=(), dtype=float32)","tf.Tensor(5.4150053e-08, shape=(), dtype=float32)","tf.Tensor(4.668878e-06, shape=(), dtype=float32)"
6360,"tf.Tensor(0.00018822837, shape=(), dtype=float32)","tf.Tensor(5.392873e-08, shape=(), dtype=float32)","tf.Tensor(4.6657365e-06, shape=(), dtype=float32)"
6361,"tf.Tensor(0.00018822665, shape=(), dtype=float32)","tf.Tensor(5.3147854e-08, shape=(), dtype=float32)","tf.Tensor(4.677809e-06, shape=(), dtype=float32)"
6362,"tf.Tensor(0.00018821855, shape=(), dtype=float32)","tf.Tensor(5.3487348e-08, shape=(), dtype=float32)","tf.Tensor(4.667696e-06, shape=(), dtype=float32)"
6363,"tf.Tensor(0.00018823025, shape=(), dtype=float32)","tf.Tensor(5.2975853e-08, shape=(), dtype=float32)","tf.Tensor(4.6801542e-06, shape=(), dtype=float32)"
6364,"tf.Tensor(0.00018821683, shape=(), dtype=float32)","tf.Tensor(5.329293e-08, shape=(), dtype=float32)","tf.Tensor(4.6687514e-06, shape=(), dtype=float32)"
6365,"tf.Tensor(0.00018821194, shape=(), dtype=float32)","tf.Tensor(5.3213057e-08, shape=(), dtype=float32)","tf.Tensor(4.666823e-06, shape=(), dtype=float32)"
6366,"tf.Tensor(0.00018820901, shape=(), dtype=float32)","tf.Tensor(5.291285e-08, shape=(), dtype=float32)","tf.Tensor(4.6667187e-06, shape=(), dtype=float32)"
6367,"tf.Tensor(0.00018828794, shape=(), dtype=float32)","tf.Tensor(5.188322e-08, shape=(), dtype=float32)","tf.Tensor(4.736054e-06, shape=(), dtype=float32)"
6368,"tf.Tensor(0.00018820848, shape=(), dtype=float32)","tf.Tensor(5.2849728e-08, shape=(), dtype=float32)","tf.Tensor(4.6671453e-06, shape=(), dtype=float32)"
6369,"tf.Tensor(0.00018820139, shape=(), dtype=float32)","tf.Tensor(5.2618688e-08, shape=(), dtype=float32)","tf.Tensor(4.665593e-06, shape=(), dtype=float32)"
6370,"tf.Tensor(0.00018819365, shape=(), dtype=float32)","tf.Tensor(5.1974926e-08, shape=(), dtype=float32)","tf.Tensor(4.6772125e-06, shape=(), dtype=float32)"
6371,"tf.Tensor(0.000188191, shape=(), dtype=float32)","tf.Tensor(5.21467e-08, shape=(), dtype=float32)","tf.Tensor(4.6697896e-06, shape=(), dtype=float32)"
6372,"tf.Tensor(0.00018818126, shape=(), dtype=float32)","tf.Tensor(5.196551e-08, shape=(), dtype=float32)","tf.Tensor(4.666268e-06, shape=(), dtype=float32)"
6373,"tf.Tensor(0.00018819136, shape=(), dtype=float32)","tf.Tensor(5.164769e-08, shape=(), dtype=float32)","tf.Tensor(4.6841233e-06, shape=(), dtype=float32)"
6374,"tf.Tensor(0.00018817336, shape=(), dtype=float32)","tf.Tensor(5.1765507e-08, shape=(), dtype=float32)","tf.Tensor(4.6664845e-06, shape=(), dtype=float32)"
6375,"tf.Tensor(0.00018816211, shape=(), dtype=float32)","tf.Tensor(5.1574297e-08, shape=(), dtype=float32)","tf.Tensor(4.6600176e-06, shape=(), dtype=float32)"
6376,"tf.Tensor(0.000188278, shape=(), dtype=float32)","tf.Tensor(5.126485e-08, shape=(), dtype=float32)","tf.Tensor(4.7322633e-06, shape=(), dtype=float32)"
6377,"tf.Tensor(0.00018816136, shape=(), dtype=float32)","tf.Tensor(5.1530773e-08, shape=(), dtype=float32)","tf.Tensor(4.6613695e-06, shape=(), dtype=float32)"
6378,"tf.Tensor(0.00018815344, shape=(), dtype=float32)","tf.Tensor(5.1492165e-08, shape=(), dtype=float32)","tf.Tensor(4.6567693e-06, shape=(), dtype=float32)"
6379,"tf.Tensor(0.00018817966, shape=(), dtype=float32)","tf.Tensor(5.2082218e-08, shape=(), dtype=float32)","tf.Tensor(4.6790547e-06, shape=(), dtype=float32)"
6380,"tf.Tensor(0.00018815075, shape=(), dtype=float32)","tf.Tensor(5.151516e-08, shape=(), dtype=float32)","tf.Tensor(4.655999e-06, shape=(), dtype=float32)"
6381,"tf.Tensor(0.00018814353, shape=(), dtype=float32)","tf.Tensor(5.1711414e-08, shape=(), dtype=float32)","tf.Tensor(4.656876e-06, shape=(), dtype=float32)"
6382,"tf.Tensor(0.00018815782, shape=(), dtype=float32)","tf.Tensor(5.3887035e-08, shape=(), dtype=float32)","tf.Tensor(4.682047e-06, shape=(), dtype=float32)"
6383,"tf.Tensor(0.00018813962, shape=(), dtype=float32)","tf.Tensor(5.2131323e-08, shape=(), dtype=float32)","tf.Tensor(4.6594614e-06, shape=(), dtype=float32)"
6384,"tf.Tensor(0.0001881277, shape=(), dtype=float32)","tf.Tensor(5.274654e-08, shape=(), dtype=float32)","tf.Tensor(4.6529617e-06, shape=(), dtype=float32)"
6385,"tf.Tensor(0.0001882152, shape=(), dtype=float32)","tf.Tensor(5.7234764e-08, shape=(), dtype=float32)","tf.Tensor(4.7040135e-06, shape=(), dtype=float32)"
6386,"tf.Tensor(0.00018812907, shape=(), dtype=float32)","tf.Tensor(5.2911474e-08, shape=(), dtype=float32)","tf.Tensor(4.6529267e-06, shape=(), dtype=float32)"
6387,"tf.Tensor(0.00018812364, shape=(), dtype=float32)","tf.Tensor(5.2893753e-08, shape=(), dtype=float32)","tf.Tensor(4.6528976e-06, shape=(), dtype=float32)"
6388,"tf.Tensor(0.00018812058, shape=(), dtype=float32)","tf.Tensor(5.2917045e-08, shape=(), dtype=float32)","tf.Tensor(4.660077e-06, shape=(), dtype=float32)"
6389,"tf.Tensor(0.00018811853, shape=(), dtype=float32)","tf.Tensor(5.289736e-08, shape=(), dtype=float32)","tf.Tensor(4.6574314e-06, shape=(), dtype=float32)"
6390,"tf.Tensor(0.00018810983, shape=(), dtype=float32)","tf.Tensor(5.2746273e-08, shape=(), dtype=float32)","tf.Tensor(4.653535e-06, shape=(), dtype=float32)"
6391,"tf.Tensor(0.00018814893, shape=(), dtype=float32)","tf.Tensor(5.3253675e-08, shape=(), dtype=float32)","tf.Tensor(4.6903488e-06, shape=(), dtype=float32)"
6392,"tf.Tensor(0.0001881081, shape=(), dtype=float32)","tf.Tensor(5.270362e-08, shape=(), dtype=float32)","tf.Tensor(4.6539667e-06, shape=(), dtype=float32)"
6393,"tf.Tensor(0.00018809986, shape=(), dtype=float32)","tf.Tensor(5.2662728e-08, shape=(), dtype=float32)","tf.Tensor(4.65002e-06, shape=(), dtype=float32)"
6394,"tf.Tensor(0.00018813796, shape=(), dtype=float32)","tf.Tensor(5.2719148e-08, shape=(), dtype=float32)","tf.Tensor(4.66599e-06, shape=(), dtype=float32)"
6395,"tf.Tensor(0.00018809899, shape=(), dtype=float32)","tf.Tensor(5.2648105e-08, shape=(), dtype=float32)","tf.Tensor(4.6495725e-06, shape=(), dtype=float32)"
6396,"tf.Tensor(0.00018809806, shape=(), dtype=float32)","tf.Tensor(5.25697e-08, shape=(), dtype=float32)","tf.Tensor(4.6517475e-06, shape=(), dtype=float32)"
6397,"tf.Tensor(0.00018809574, shape=(), dtype=float32)","tf.Tensor(5.2593748e-08, shape=(), dtype=float32)","tf.Tensor(4.6490904e-06, shape=(), dtype=float32)"
6398,"tf.Tensor(0.0001880919, shape=(), dtype=float32)","tf.Tensor(5.2532492e-08, shape=(), dtype=float32)","tf.Tensor(4.646977e-06, shape=(), dtype=float32)"
6399,"tf.Tensor(0.0001880893, shape=(), dtype=float32)","tf.Tensor(5.23086e-08, shape=(), dtype=float32)","tf.Tensor(4.6444093e-06, shape=(), dtype=float32)"
6400,"tf.Tensor(0.00018819269, shape=(), dtype=float32)","tf.Tensor(5.183362e-08, shape=(), dtype=float32)","tf.Tensor(4.7301205e-06, shape=(), dtype=float32)"
6401,"tf.Tensor(0.00018808749, shape=(), dtype=float32)","tf.Tensor(5.228205e-08, shape=(), dtype=float32)","tf.Tensor(4.6440514e-06, shape=(), dtype=float32)"
6402,"tf.Tensor(0.0001880831, shape=(), dtype=float32)","tf.Tensor(5.2151016e-08, shape=(), dtype=float32)","tf.Tensor(4.6412283e-06, shape=(), dtype=float32)"
6403,"tf.Tensor(0.00018811051, shape=(), dtype=float32)","tf.Tensor(5.1700418e-08, shape=(), dtype=float32)","tf.Tensor(4.6567893e-06, shape=(), dtype=float32)"
6404,"tf.Tensor(0.00018808003, shape=(), dtype=float32)","tf.Tensor(5.2070895e-08, shape=(), dtype=float32)","tf.Tensor(4.6393875e-06, shape=(), dtype=float32)"
6405,"tf.Tensor(0.00018807607, shape=(), dtype=float32)","tf.Tensor(5.2030426e-08, shape=(), dtype=float32)","tf.Tensor(4.6371915e-06, shape=(), dtype=float32)"
6406,"tf.Tensor(0.00018807307, shape=(), dtype=float32)","tf.Tensor(5.19543e-08, shape=(), dtype=float32)","tf.Tensor(4.639478e-06, shape=(), dtype=float32)"
6407,"tf.Tensor(0.00018807044, shape=(), dtype=float32)","tf.Tensor(5.1969646e-08, shape=(), dtype=float32)","tf.Tensor(4.637188e-06, shape=(), dtype=float32)"
6408,"tf.Tensor(0.00018806492, shape=(), dtype=float32)","tf.Tensor(5.1866483e-08, shape=(), dtype=float32)","tf.Tensor(4.6378364e-06, shape=(), dtype=float32)"
6409,"tf.Tensor(0.00018811233, shape=(), dtype=float32)","tf.Tensor(5.1501114e-08, shape=(), dtype=float32)","tf.Tensor(4.6811706e-06, shape=(), dtype=float32)"
6410,"tf.Tensor(0.00018806275, shape=(), dtype=float32)","tf.Tensor(5.1828888e-08, shape=(), dtype=float32)","tf.Tensor(4.6380133e-06, shape=(), dtype=float32)"
6411,"tf.Tensor(0.00018806008, shape=(), dtype=float32)","tf.Tensor(5.1778635e-08, shape=(), dtype=float32)","tf.Tensor(4.637397e-06, shape=(), dtype=float32)"
6412,"tf.Tensor(0.00018807972, shape=(), dtype=float32)","tf.Tensor(5.163295e-08, shape=(), dtype=float32)","tf.Tensor(4.6633904e-06, shape=(), dtype=float32)"
6413,"tf.Tensor(0.00018806, shape=(), dtype=float32)","tf.Tensor(5.1746003e-08, shape=(), dtype=float32)","tf.Tensor(4.6386835e-06, shape=(), dtype=float32)"
6414,"tf.Tensor(0.00018805277, shape=(), dtype=float32)","tf.Tensor(5.1873634e-08, shape=(), dtype=float32)","tf.Tensor(4.636053e-06, shape=(), dtype=float32)"
6415,"tf.Tensor(0.00018806732, shape=(), dtype=float32)","tf.Tensor(5.2895984e-08, shape=(), dtype=float32)","tf.Tensor(4.645902e-06, shape=(), dtype=float32)"
6416,"tf.Tensor(0.00018805076, shape=(), dtype=float32)","tf.Tensor(5.205856e-08, shape=(), dtype=float32)","tf.Tensor(4.635951e-06, shape=(), dtype=float32)"
6417,"tf.Tensor(0.0001880459, shape=(), dtype=float32)","tf.Tensor(5.231402e-08, shape=(), dtype=float32)","tf.Tensor(4.6365444e-06, shape=(), dtype=float32)"
6418,"tf.Tensor(0.00018807611, shape=(), dtype=float32)","tf.Tensor(5.3896276e-08, shape=(), dtype=float32)","tf.Tensor(4.6689624e-06, shape=(), dtype=float32)"
6419,"tf.Tensor(0.00018804478, shape=(), dtype=float32)","tf.Tensor(5.2453228e-08, shape=(), dtype=float32)","tf.Tensor(4.637639e-06, shape=(), dtype=float32)"
6420,"tf.Tensor(0.00018804171, shape=(), dtype=float32)","tf.Tensor(5.252515e-08, shape=(), dtype=float32)","tf.Tensor(4.6354567e-06, shape=(), dtype=float32)"
6421,"tf.Tensor(0.00018803534, shape=(), dtype=float32)","tf.Tensor(5.2916214e-08, shape=(), dtype=float32)","tf.Tensor(4.6366563e-06, shape=(), dtype=float32)"
6422,"tf.Tensor(0.00018803492, shape=(), dtype=float32)","tf.Tensor(5.2822667e-08, shape=(), dtype=float32)","tf.Tensor(4.6350096e-06, shape=(), dtype=float32)"
6423,"tf.Tensor(0.00018802854, shape=(), dtype=float32)","tf.Tensor(5.2508025e-08, shape=(), dtype=float32)","tf.Tensor(4.6337154e-06, shape=(), dtype=float32)"
6424,"tf.Tensor(0.00018806626, shape=(), dtype=float32)","tf.Tensor(5.156107e-08, shape=(), dtype=float32)","tf.Tensor(4.679976e-06, shape=(), dtype=float32)"
6425,"tf.Tensor(0.00018802694, shape=(), dtype=float32)","tf.Tensor(5.2329646e-08, shape=(), dtype=float32)","tf.Tensor(4.6364353e-06, shape=(), dtype=float32)"
6426,"tf.Tensor(0.00018802105, shape=(), dtype=float32)","tf.Tensor(5.1667335e-08, shape=(), dtype=float32)","tf.Tensor(4.6346954e-06, shape=(), dtype=float32)"
6427,"tf.Tensor(0.00018803802, shape=(), dtype=float32)","tf.Tensor(5.0182045e-08, shape=(), dtype=float32)","tf.Tensor(4.646679e-06, shape=(), dtype=float32)"
6428,"tf.Tensor(0.00018801936, shape=(), dtype=float32)","tf.Tensor(5.1156242e-08, shape=(), dtype=float32)","tf.Tensor(4.633612e-06, shape=(), dtype=float32)"
6429,"tf.Tensor(0.00018801913, shape=(), dtype=float32)","tf.Tensor(5.0690524e-08, shape=(), dtype=float32)","tf.Tensor(4.634945e-06, shape=(), dtype=float32)"
6430,"tf.Tensor(0.00018801496, shape=(), dtype=float32)","tf.Tensor(5.0893746e-08, shape=(), dtype=float32)","tf.Tensor(4.632457e-06, shape=(), dtype=float32)"
6431,"tf.Tensor(0.00018801384, shape=(), dtype=float32)","tf.Tensor(5.0817444e-08, shape=(), dtype=float32)","tf.Tensor(4.6320706e-06, shape=(), dtype=float32)"
6432,"tf.Tensor(0.00018801155, shape=(), dtype=float32)","tf.Tensor(5.054657e-08, shape=(), dtype=float32)","tf.Tensor(4.6339637e-06, shape=(), dtype=float32)"
6433,"tf.Tensor(0.00018801187, shape=(), dtype=float32)","tf.Tensor(5.055936e-08, shape=(), dtype=float32)","tf.Tensor(4.6337104e-06, shape=(), dtype=float32)"
6434,"tf.Tensor(0.00018800593, shape=(), dtype=float32)","tf.Tensor(5.0423548e-08, shape=(), dtype=float32)","tf.Tensor(4.6327755e-06, shape=(), dtype=float32)"
6435,"tf.Tensor(0.00018802466, shape=(), dtype=float32)","tf.Tensor(5.003e-08, shape=(), dtype=float32)","tf.Tensor(4.657346e-06, shape=(), dtype=float32)"
6436,"tf.Tensor(0.00018800615, shape=(), dtype=float32)","tf.Tensor(5.0330062e-08, shape=(), dtype=float32)","tf.Tensor(4.635095e-06, shape=(), dtype=float32)"
6437,"tf.Tensor(0.00018800404, shape=(), dtype=float32)","tf.Tensor(5.0292776e-08, shape=(), dtype=float32)","tf.Tensor(4.6352e-06, shape=(), dtype=float32)"
6438,"tf.Tensor(0.00018800414, shape=(), dtype=float32)","tf.Tensor(5.0162466e-08, shape=(), dtype=float32)","tf.Tensor(4.6397217e-06, shape=(), dtype=float32)"
6439,"tf.Tensor(0.00018799977, shape=(), dtype=float32)","tf.Tensor(5.0232067e-08, shape=(), dtype=float32)","tf.Tensor(4.6357686e-06, shape=(), dtype=float32)"
6440,"tf.Tensor(0.00018799386, shape=(), dtype=float32)","tf.Tensor(5.030767e-08, shape=(), dtype=float32)","tf.Tensor(4.6333444e-06, shape=(), dtype=float32)"
6441,"tf.Tensor(0.00018800885, shape=(), dtype=float32)","tf.Tensor(5.0880015e-08, shape=(), dtype=float32)","tf.Tensor(4.6465393e-06, shape=(), dtype=float32)"
6442,"tf.Tensor(0.00018799225, shape=(), dtype=float32)","tf.Tensor(5.039938e-08, shape=(), dtype=float32)","tf.Tensor(4.633243e-06, shape=(), dtype=float32)"
6443,"tf.Tensor(0.0001879881, shape=(), dtype=float32)","tf.Tensor(5.052886e-08, shape=(), dtype=float32)","tf.Tensor(4.6312357e-06, shape=(), dtype=float32)"
6444,"tf.Tensor(0.00018799015, shape=(), dtype=float32)","tf.Tensor(5.1305218e-08, shape=(), dtype=float32)","tf.Tensor(4.638234e-06, shape=(), dtype=float32)"
6445,"tf.Tensor(0.00018798624, shape=(), dtype=float32)","tf.Tensor(5.0841752e-08, shape=(), dtype=float32)","tf.Tensor(4.632931e-06, shape=(), dtype=float32)"
6446,"tf.Tensor(0.00018798045, shape=(), dtype=float32)","tf.Tensor(5.098953e-08, shape=(), dtype=float32)","tf.Tensor(4.632654e-06, shape=(), dtype=float32)"
6447,"tf.Tensor(0.00018803442, shape=(), dtype=float32)","tf.Tensor(5.193168e-08, shape=(), dtype=float32)","tf.Tensor(4.673416e-06, shape=(), dtype=float32)"
6448,"tf.Tensor(0.00018797966, shape=(), dtype=float32)","tf.Tensor(5.1036192e-08, shape=(), dtype=float32)","tf.Tensor(4.6336013e-06, shape=(), dtype=float32)"
6449,"tf.Tensor(0.00018797701, shape=(), dtype=float32)","tf.Tensor(5.1059267e-08, shape=(), dtype=float32)","tf.Tensor(4.630748e-06, shape=(), dtype=float32)"
6450,"tf.Tensor(0.00018799701, shape=(), dtype=float32)","tf.Tensor(5.119444e-08, shape=(), dtype=float32)","tf.Tensor(4.643431e-06, shape=(), dtype=float32)"
6451,"tf.Tensor(0.00018797605, shape=(), dtype=float32)","tf.Tensor(5.1070483e-08, shape=(), dtype=float32)","tf.Tensor(4.631322e-06, shape=(), dtype=float32)"
6452,"tf.Tensor(0.00018796886, shape=(), dtype=float32)","tf.Tensor(5.101032e-08, shape=(), dtype=float32)","tf.Tensor(4.629061e-06, shape=(), dtype=float32)"
6453,"tf.Tensor(0.00018796802, shape=(), dtype=float32)","tf.Tensor(5.0828266e-08, shape=(), dtype=float32)","tf.Tensor(4.634121e-06, shape=(), dtype=float32)"
6454,"tf.Tensor(0.0001879668, shape=(), dtype=float32)","tf.Tensor(5.0885642e-08, shape=(), dtype=float32)","tf.Tensor(4.631066e-06, shape=(), dtype=float32)"
6455,"tf.Tensor(0.00018796041, shape=(), dtype=float32)","tf.Tensor(5.074933e-08, shape=(), dtype=float32)","tf.Tensor(4.6287e-06, shape=(), dtype=float32)"
6456,"tf.Tensor(0.00018797908, shape=(), dtype=float32)","tf.Tensor(5.032133e-08, shape=(), dtype=float32)","tf.Tensor(4.648953e-06, shape=(), dtype=float32)"
6457,"tf.Tensor(0.00018796024, shape=(), dtype=float32)","tf.Tensor(5.063778e-08, shape=(), dtype=float32)","tf.Tensor(4.6293026e-06, shape=(), dtype=float32)"
6458,"tf.Tensor(0.00018795198, shape=(), dtype=float32)","tf.Tensor(5.0555958e-08, shape=(), dtype=float32)","tf.Tensor(4.627291e-06, shape=(), dtype=float32)"
6459,"tf.Tensor(0.00018795898, shape=(), dtype=float32)","tf.Tensor(5.0261228e-08, shape=(), dtype=float32)","tf.Tensor(4.639152e-06, shape=(), dtype=float32)"
6460,"tf.Tensor(0.00018795194, shape=(), dtype=float32)","tf.Tensor(5.0452023e-08, shape=(), dtype=float32)","tf.Tensor(4.6291057e-06, shape=(), dtype=float32)"
6461,"tf.Tensor(0.00018794896, shape=(), dtype=float32)","tf.Tensor(5.026841e-08, shape=(), dtype=float32)","tf.Tensor(4.6303317e-06, shape=(), dtype=float32)"
6462,"tf.Tensor(0.00018794731, shape=(), dtype=float32)","tf.Tensor(5.0331394e-08, shape=(), dtype=float32)","tf.Tensor(4.6284695e-06, shape=(), dtype=float32)"
6463,"tf.Tensor(0.00018794507, shape=(), dtype=float32)","tf.Tensor(5.0209742e-08, shape=(), dtype=float32)","tf.Tensor(4.6262526e-06, shape=(), dtype=float32)"
6464,"tf.Tensor(0.00018793976, shape=(), dtype=float32)","tf.Tensor(4.9784894e-08, shape=(), dtype=float32)","tf.Tensor(4.623089e-06, shape=(), dtype=float32)"
6465,"tf.Tensor(0.00018794002, shape=(), dtype=float32)","tf.Tensor(4.986193e-08, shape=(), dtype=float32)","tf.Tensor(4.623083e-06, shape=(), dtype=float32)"
6466,"tf.Tensor(0.00018793695, shape=(), dtype=float32)","tf.Tensor(4.9751215e-08, shape=(), dtype=float32)","tf.Tensor(4.620907e-06, shape=(), dtype=float32)"
6467,"tf.Tensor(0.00018794, shape=(), dtype=float32)","tf.Tensor(4.936346e-08, shape=(), dtype=float32)","tf.Tensor(4.621833e-06, shape=(), dtype=float32)"
6468,"tf.Tensor(0.00018793475, shape=(), dtype=float32)","tf.Tensor(4.958552e-08, shape=(), dtype=float32)","tf.Tensor(4.618783e-06, shape=(), dtype=float32)"
6469,"tf.Tensor(0.00018792838, shape=(), dtype=float32)","tf.Tensor(4.9510174e-08, shape=(), dtype=float32)","tf.Tensor(4.6155183e-06, shape=(), dtype=float32)"
6470,"tf.Tensor(0.00018792637, shape=(), dtype=float32)","tf.Tensor(4.9235393e-08, shape=(), dtype=float32)","tf.Tensor(4.616691e-06, shape=(), dtype=float32)"
6471,"tf.Tensor(0.00018792565, shape=(), dtype=float32)","tf.Tensor(4.9347552e-08, shape=(), dtype=float32)","tf.Tensor(4.6154078e-06, shape=(), dtype=float32)"
6472,"tf.Tensor(0.00018791624, shape=(), dtype=float32)","tf.Tensor(4.9307346e-08, shape=(), dtype=float32)","tf.Tensor(4.6133036e-06, shape=(), dtype=float32)"
6473,"tf.Tensor(0.00018794028, shape=(), dtype=float32)","tf.Tensor(4.9220173e-08, shape=(), dtype=float32)","tf.Tensor(4.6380264e-06, shape=(), dtype=float32)"
6474,"tf.Tensor(0.00018791734, shape=(), dtype=float32)","tf.Tensor(4.927632e-08, shape=(), dtype=float32)","tf.Tensor(4.6140112e-06, shape=(), dtype=float32)"
6475,"tf.Tensor(0.00018790763, shape=(), dtype=float32)","tf.Tensor(4.9358253e-08, shape=(), dtype=float32)","tf.Tensor(4.610806e-06, shape=(), dtype=float32)"
6476,"tf.Tensor(0.00018791544, shape=(), dtype=float32)","tf.Tensor(5.0001546e-08, shape=(), dtype=float32)","tf.Tensor(4.6244636e-06, shape=(), dtype=float32)"
6477,"tf.Tensor(0.00018790594, shape=(), dtype=float32)","tf.Tensor(4.953951e-08, shape=(), dtype=float32)","tf.Tensor(4.612201e-06, shape=(), dtype=float32)"
6478,"tf.Tensor(0.00018790015, shape=(), dtype=float32)","tf.Tensor(4.9839983e-08, shape=(), dtype=float32)","tf.Tensor(4.6100686e-06, shape=(), dtype=float32)"
6479,"tf.Tensor(0.00018797812, shape=(), dtype=float32)","tf.Tensor(5.1935867e-08, shape=(), dtype=float32)","tf.Tensor(4.6558052e-06, shape=(), dtype=float32)"
6480,"tf.Tensor(0.00018789973, shape=(), dtype=float32)","tf.Tensor(4.9900375e-08, shape=(), dtype=float32)","tf.Tensor(4.6100736e-06, shape=(), dtype=float32)"
