,loss,res_loss,bound_loss
57,"tf.Tensor(0.00034342607, shape=(), dtype=float32)","tf.Tensor(1.5608558e-07, shape=(), dtype=float32)","tf.Tensor(3.6004523e-05, shape=(), dtype=float32)"
58,"tf.Tensor(0.00034256114, shape=(), dtype=float32)","tf.Tensor(1.8066815e-07, shape=(), dtype=float32)","tf.Tensor(3.547469e-05, shape=(), dtype=float32)"
59,"tf.Tensor(0.0003418211, shape=(), dtype=float32)","tf.Tensor(1.5637741e-07, shape=(), dtype=float32)","tf.Tensor(3.507626e-05, shape=(), dtype=float32)"
60,"tf.Tensor(0.00034262717, shape=(), dtype=float32)","tf.Tensor(1.4893236e-07, shape=(), dtype=float32)","tf.Tensor(3.5503857e-05, shape=(), dtype=float32)"
61,"tf.Tensor(0.0003414168, shape=(), dtype=float32)","tf.Tensor(1.370002e-07, shape=(), dtype=float32)","tf.Tensor(3.485973e-05, shape=(), dtype=float32)"
62,"tf.Tensor(0.0003407386, shape=(), dtype=float32)","tf.Tensor(1.3175745e-07, shape=(), dtype=float32)","tf.Tensor(3.4462126e-05, shape=(), dtype=float32)"
63,"tf.Tensor(0.00034303957, shape=(), dtype=float32)","tf.Tensor(1.8725231e-07, shape=(), dtype=float32)","tf.Tensor(3.641087e-05, shape=(), dtype=float32)"
64,"tf.Tensor(0.00034056487, shape=(), dtype=float32)","tf.Tensor(1.3331555e-07, shape=(), dtype=float32)","tf.Tensor(3.4407534e-05, shape=(), dtype=float32)"
65,"tf.Tensor(0.00033980442, shape=(), dtype=float32)","tf.Tensor(1.3734211e-07, shape=(), dtype=float32)","tf.Tensor(3.398897e-05, shape=(), dtype=float32)"
66,"tf.Tensor(0.00033958233, shape=(), dtype=float32)","tf.Tensor(1.8211242e-07, shape=(), dtype=float32)","tf.Tensor(3.379709e-05, shape=(), dtype=float32)"
67,"tf.Tensor(0.00033913512, shape=(), dtype=float32)","tf.Tensor(1.5625915e-07, shape=(), dtype=float32)","tf.Tensor(3.3593897e-05, shape=(), dtype=float32)"
68,"tf.Tensor(0.00033809664, shape=(), dtype=float32)","tf.Tensor(1.5005638e-07, shape=(), dtype=float32)","tf.Tensor(3.3021162e-05, shape=(), dtype=float32)"
69,"tf.Tensor(0.00034095213, shape=(), dtype=float32)","tf.Tensor(1.3519714e-07, shape=(), dtype=float32)","tf.Tensor(3.4780904e-05, shape=(), dtype=float32)"
70,"tf.Tensor(0.00033776238, shape=(), dtype=float32)","tf.Tensor(1.4495699e-07, shape=(), dtype=float32)","tf.Tensor(3.2854805e-05, shape=(), dtype=float32)"
71,"tf.Tensor(0.00033683956, shape=(), dtype=float32)","tf.Tensor(1.3943219e-07, shape=(), dtype=float32)","tf.Tensor(3.2358977e-05, shape=(), dtype=float32)"
72,"tf.Tensor(0.0003385662, shape=(), dtype=float32)","tf.Tensor(2.0143294e-07, shape=(), dtype=float32)","tf.Tensor(3.3559787e-05, shape=(), dtype=float32)"
73,"tf.Tensor(0.00033644744, shape=(), dtype=float32)","tf.Tensor(1.4392256e-07, shape=(), dtype=float32)","tf.Tensor(3.2181833e-05, shape=(), dtype=float32)"
74,"tf.Tensor(0.0003376057, shape=(), dtype=float32)","tf.Tensor(1.6163807e-07, shape=(), dtype=float32)","tf.Tensor(3.313865e-05, shape=(), dtype=float32)"
75,"tf.Tensor(0.00033619453, shape=(), dtype=float32)","tf.Tensor(1.4791496e-07, shape=(), dtype=float32)","tf.Tensor(3.2158427e-05, shape=(), dtype=float32)"
76,"tf.Tensor(0.0003358683, shape=(), dtype=float32)","tf.Tensor(1.5133159e-07, shape=(), dtype=float32)","tf.Tensor(3.1988806e-05, shape=(), dtype=float32)"
77,"tf.Tensor(0.00033535314, shape=(), dtype=float32)","tf.Tensor(1.6965188e-07, shape=(), dtype=float32)","tf.Tensor(3.1812597e-05, shape=(), dtype=float32)"
78,"tf.Tensor(0.00033534857, shape=(), dtype=float32)","tf.Tensor(1.6770188e-07, shape=(), dtype=float32)","tf.Tensor(3.179415e-05, shape=(), dtype=float32)"
79,"tf.Tensor(0.0003350404, shape=(), dtype=float32)","tf.Tensor(1.6889929e-07, shape=(), dtype=float32)","tf.Tensor(3.165396e-05, shape=(), dtype=float32)"
80,"tf.Tensor(0.00033437918, shape=(), dtype=float32)","tf.Tensor(1.7401946e-07, shape=(), dtype=float32)","tf.Tensor(3.1456108e-05, shape=(), dtype=float32)"
81,"tf.Tensor(0.0003445236, shape=(), dtype=float32)","tf.Tensor(2.0753541e-07, shape=(), dtype=float32)","tf.Tensor(3.9259547e-05, shape=(), dtype=float32)"
82,"tf.Tensor(0.00033435615, shape=(), dtype=float32)","tf.Tensor(1.7531242e-07, shape=(), dtype=float32)","tf.Tensor(3.1493444e-05, shape=(), dtype=float32)"
83,"tf.Tensor(0.00033333502, shape=(), dtype=float32)","tf.Tensor(1.7832542e-07, shape=(), dtype=float32)","tf.Tensor(3.102065e-05, shape=(), dtype=float32)"
84,"tf.Tensor(0.00034170432, shape=(), dtype=float32)","tf.Tensor(1.9978627e-07, shape=(), dtype=float32)","tf.Tensor(3.796812e-05, shape=(), dtype=float32)"
85,"tf.Tensor(0.00033326913, shape=(), dtype=float32)","tf.Tensor(1.7948504e-07, shape=(), dtype=float32)","tf.Tensor(3.105385e-05, shape=(), dtype=float32)"
86,"tf.Tensor(0.0003329554, shape=(), dtype=float32)","tf.Tensor(1.7447185e-07, shape=(), dtype=float32)","tf.Tensor(3.0890376e-05, shape=(), dtype=float32)"
87,"tf.Tensor(0.000332228, shape=(), dtype=float32)","tf.Tensor(1.5753928e-07, shape=(), dtype=float32)","tf.Tensor(3.058809e-05, shape=(), dtype=float32)"
88,"tf.Tensor(0.00034138453, shape=(), dtype=float32)","tf.Tensor(1.4720719e-07, shape=(), dtype=float32)","tf.Tensor(3.7631828e-05, shape=(), dtype=float32)"
89,"tf.Tensor(0.00033217808, shape=(), dtype=float32)","tf.Tensor(1.5274162e-07, shape=(), dtype=float32)","tf.Tensor(3.0619136e-05, shape=(), dtype=float32)"
90,"tf.Tensor(0.00033169333, shape=(), dtype=float32)","tf.Tensor(1.4230139e-07, shape=(), dtype=float32)","tf.Tensor(3.039571e-05, shape=(), dtype=float32)"
91,"tf.Tensor(0.0003315776, shape=(), dtype=float32)","tf.Tensor(1.4455611e-07, shape=(), dtype=float32)","tf.Tensor(3.0285919e-05, shape=(), dtype=float32)"
92,"tf.Tensor(0.0003312631, shape=(), dtype=float32)","tf.Tensor(1.4379869e-07, shape=(), dtype=float32)","tf.Tensor(3.0134088e-05, shape=(), dtype=float32)"
93,"tf.Tensor(0.00033082548, shape=(), dtype=float32)","tf.Tensor(1.4198972e-07, shape=(), dtype=float32)","tf.Tensor(2.9950626e-05, shape=(), dtype=float32)"
94,"tf.Tensor(0.00033080715, shape=(), dtype=float32)","tf.Tensor(1.4214429e-07, shape=(), dtype=float32)","tf.Tensor(2.9933533e-05, shape=(), dtype=float32)"
95,"tf.Tensor(0.00033027717, shape=(), dtype=float32)","tf.Tensor(1.4110543e-07, shape=(), dtype=float32)","tf.Tensor(2.9703118e-05, shape=(), dtype=float32)"
96,"tf.Tensor(0.0003306851, shape=(), dtype=float32)","tf.Tensor(1.4251108e-07, shape=(), dtype=float32)","tf.Tensor(3.0386638e-05, shape=(), dtype=float32)"
97,"tf.Tensor(0.00032995007, shape=(), dtype=float32)","tf.Tensor(1.4059822e-07, shape=(), dtype=float32)","tf.Tensor(2.9667672e-05, shape=(), dtype=float32)"
98,"tf.Tensor(0.00032944497, shape=(), dtype=float32)","tf.Tensor(1.459997e-07, shape=(), dtype=float32)","tf.Tensor(2.9506002e-05, shape=(), dtype=float32)"
99,"tf.Tensor(0.00033163137, shape=(), dtype=float32)","tf.Tensor(1.8587802e-07, shape=(), dtype=float32)","tf.Tensor(3.1104675e-05, shape=(), dtype=float32)"
100,"tf.Tensor(0.00032934098, shape=(), dtype=float32)","tf.Tensor(1.5087562e-07, shape=(), dtype=float32)","tf.Tensor(2.9528257e-05, shape=(), dtype=float32)"
101,"tf.Tensor(0.00032884403, shape=(), dtype=float32)","tf.Tensor(1.6202527e-07, shape=(), dtype=float32)","tf.Tensor(2.9379336e-05, shape=(), dtype=float32)"
102,"tf.Tensor(0.00032926636, shape=(), dtype=float32)","tf.Tensor(2.4506227e-07, shape=(), dtype=float32)","tf.Tensor(2.9959288e-05, shape=(), dtype=float32)"
103,"tf.Tensor(0.00032854325, shape=(), dtype=float32)","tf.Tensor(1.8711921e-07, shape=(), dtype=float32)","tf.Tensor(2.9377108e-05, shape=(), dtype=float32)"
104,"tf.Tensor(0.00032807735, shape=(), dtype=float32)","tf.Tensor(1.8986121e-07, shape=(), dtype=float32)","tf.Tensor(2.9138113e-05, shape=(), dtype=float32)"
105,"tf.Tensor(0.00032762135, shape=(), dtype=float32)","tf.Tensor(2.0170933e-07, shape=(), dtype=float32)","tf.Tensor(2.9005978e-05, shape=(), dtype=float32)"
106,"tf.Tensor(0.00032751594, shape=(), dtype=float32)","tf.Tensor(1.9798804e-07, shape=(), dtype=float32)","tf.Tensor(2.8905099e-05, shape=(), dtype=float32)"
107,"tf.Tensor(0.00032736524, shape=(), dtype=float32)","tf.Tensor(1.7301043e-07, shape=(), dtype=float32)","tf.Tensor(2.897704e-05, shape=(), dtype=float32)"
108,"tf.Tensor(0.00032726885, shape=(), dtype=float32)","tf.Tensor(1.8193435e-07, shape=(), dtype=float32)","tf.Tensor(2.8869648e-05, shape=(), dtype=float32)"
