,loss,bound_loss,residual_loss,u_loss,v_loss,p_loss
140,0.37238556,0.37155965,0.00082589575,0.17013018,0.16859977,0.0328297
141,0.37234008,0.37150732,0.0008327647,0.17012188,0.16857591,0.03280952
142,0.37229574,0.37145638,0.0008393379,0.17011341,0.1685517,0.03279129
143,0.3722524,0.3714068,0.0008455984,0.17010477,0.1685271,0.032774903
144,0.37220985,0.3713583,0.0008515342,0.17009597,0.16850209,0.03276022
145,0.37216786,0.3713107,0.00085714145,0.170087,0.16847661,0.032747097
146,0.37212628,0.37126386,0.0008624241,0.17007786,0.16845064,0.032735378
147,0.37208492,0.37121752,0.0008673937,0.17006853,0.16842407,0.03272491
148,0.37204355,0.37117147,0.0008720683,0.17005906,0.16839686,0.03271555
149,0.37200198,0.37112552,0.0008764731,0.17004943,0.16836897,0.03270716
150,0.37196016,0.3710795,0.0008806372,0.17003961,0.16834028,0.0326996
151,0.3719177,0.37103313,0.00088459364,0.1700296,0.16831076,0.032692753
152,0.37187463,0.37098628,0.0008883791,0.17001943,0.16828027,0.032686524
153,0.3718307,0.37093872,0.0008920297,0.17000908,0.16824879,0.032680817
154,0.37178585,0.37089026,0.0008955832,0.16999853,0.16821623,0.032675546
155,0.37173995,0.37084088,0.00089907536,0.16998778,0.16818243,0.03267064
156,0.37169278,0.37079024,0.00090254017,0.16997683,0.1681474,0.032666046
157,0.37164432,0.37073833,0.00090601045,0.16996565,0.16811097,0.032661706
158,0.3715944,0.37068486,0.00090951624,0.16995426,0.16807309,0.03265757
159,0.37154287,0.37062982,0.00091308507,0.16994259,0.1680336,0.032653607
160,0.37148964,0.37057292,0.0009167418,0.16993067,0.16799244,0.03264979
161,0.3714346,0.3705141,0.00092050934,0.16991849,0.16794951,0.03264607
162,0.37137753,0.37045312,0.0009244086,0.16990602,0.16790465,0.032642446
163,0.37131828,0.37038988,0.00092845934,0.16989322,0.16785772,0.03263889
164,0.37125677,0.3703241,0.00093267846,0.16988012,0.16780862,0.032635383
165,0.37119287,0.3702558,0.00093708315,0.16986668,0.16775718,0.03263191
166,0.3711263,0.3701846,0.00094169145,0.16985287,0.16770326,0.03262847
167,0.37105685,0.37011033,0.00094651955,0.16983867,0.16764663,0.03262503
168,0.3709844,0.37003285,0.00095158553,0.16982405,0.16758718,0.032621607
169,0.37090874,0.3699518,0.0009569086,0.16980901,0.16752462,0.032618172
170,0.37082958,0.36986703,0.0009625107,0.1697935,0.1674588,0.03261473
171,0.3707466,0.36977822,0.0009684167,0.1697775,0.16738942,0.032611273
172,0.37065968,0.36968502,0.000974655,0.16976097,0.16731627,0.032607798
173,0.37056845,0.3695872,0.0009812589,0.1697439,0.16723898,0.032604296
174,0.37047258,0.36948434,0.0009882705,0.16972622,0.16715734,0.032600768
175,0.37037176,0.369376,0.0009957366,0.16970788,0.1670709,0.032597203
176,0.37026557,0.3692619,0.0010037161,0.1696889,0.16697934,0.0325936
177,0.37015364,0.3691414,0.0010122808,0.16966918,0.16688223,0.032589965
178,0.37003562,0.36901408,0.0010215153,0.16964872,0.16677909,0.032586284
179,0.36991093,0.36887938,0.0010315261,0.16962738,0.16666944,0.03258256
180,0.36977914,0.36873665,0.0010424389,0.16960517,0.16655274,0.03257879
181,0.36963975,0.36858532,0.0010544077,0.16958201,0.16642837,0.03257497
182,0.36949223,0.3684246,0.0010676209,0.1695578,0.16629574,0.03257109
183,0.36933604,0.3682537,0.0010823034,0.16953248,0.16615409,0.032567162
184,0.36917058,0.36807185,0.0010987271,0.16950595,0.16600272,0.032563176
185,0.36899525,0.36787805,0.0011172194,0.16947813,0.16584077,0.032559127
186,0.36880955,0.3676714,0.0011381705,0.1694489,0.16566747,0.03255502
187,0.3686129,0.36745086,0.0011620418,0.16941814,0.16548185,0.032550838
188,0.36840478,0.36721542,0.0011893746,0.16938573,0.16528308,0.0325466
189,0.36818472,0.3669639,0.0012207978,0.16935149,0.16507015,0.03254227
190,0.36795238,0.36669534,0.0012570303,0.16931526,0.16484219,0.032537874
191,0.3677074,0.36640853,0.001298877,0.16927688,0.16459827,0.03253339
